epoch,train_loss,val_acc,val_macroF1,lr
1,0.878470,0.405513,0.337125,0.00009973
2,0.696033,0.400489,0.356804,0.00009891
3,0.537420,0.393872,0.374617,0.00009755
4,0.479591,0.391963,0.371693,0.00009568
5,0.448644,0.391992,0.374589,0.00009330
6,0.427481,0.384296,0.373990,0.00009045
7,0.411700,0.381261,0.366619,0.00008716
8,0.398526,0.381037,0.370136,0.00008346
9,0.387509,0.388212,0.378140,0.00007939
10,0.377106,0.388453,0.374609,0.00007500
11,0.368175,0.379661,0.372474,0.00007034
12,0.358894,0.383407,0.370263,0.00006545
13,0.351074,0.375914,0.367810,0.00006040
14,0.343230,0.374335,0.366352,0.00005523
15,0.335755,0.377134,0.368293,0.00005000
