epoch,train_loss,val_acc,val_macroF1,lr
1,0.893966,0.398846,0.310240,0.00049863
2,0.855442,0.397721,0.318236,0.00049454
3,0.715167,0.398512,0.337341,0.00048776
4,0.604897,0.391753,0.339426,0.00047839
5,0.552902,0.392227,0.358577,0.00046651
6,0.523043,0.394621,0.359653,0.00045225
7,0.500966,0.395095,0.355300,0.00043579
8,0.483660,0.388674,0.365563,0.00041728
9,0.468096,0.393483,0.361285,0.00039695
10,0.454668,0.392836,0.367282,0.00037500
11,0.442286,0.386221,0.359066,0.00035168
12,0.430373,0.387858,0.369539,0.00032725
13,0.419638,0.387291,0.365884,0.00030198
14,0.408057,0.383569,0.365917,0.00027613
15,0.397375,0.386432,0.368630,0.00025000
16,0.387078,0.382512,0.368501,0.00022387
17,0.377093,0.382351,0.367713,0.00019802
18,0.367014,0.383738,0.368224,0.00017275
